Airport,Airport Code,Flights From Airport,
CHARLOTTE,CLT,1,
MIAMI,MIA,1,
BEIJING,PEK,1,
MADRID,MAD,1,
BANGKOK,BKK,1,
MUNICH,MUC,1,
AMSTERDAM,AMS,1,
NEW YORK,JFK,1,
LONDON,LHR,1,
SHANGHAI,PVG,1,
ATLANTA,ATL,2,
DENVER,DEN,4,
ROME,FCO,1,
LAS VEGAS,LAS,1,
DALLAS/FORT WORTH,DFW,1,
HOUSTON,IAH,2,
JAKARTA,CGK,2,
CHICAGO,ORD,2,
KUALA LUMPUR,KUL,2,
GUANGZHOU,CAN,2,
TOKYO,HND,1,
PARIS,CDG,1,


Airport Code,Airport Name,
LAX,LOS ANGELES
IST,ISTANBUL
DXB,DUBAI
FRA,FRANKFURT
SFO,SAN FRANCISCO
PHX,PHOENIX
HKG,HONG KONG
SIN,SINGAPORE
